ID,LAT,LON,CITY,ELEV_ft
KABR,45.4558,-98.4131,"Aberdeen, SD",1302
KENX,42.5864,-74.0639,"Albany, NY",1826
KABX,35.1497,-106.8239,"Albuquerque, NM",5870
KFDR,34.3622,-98.9764,"Altus AFB, OK",1267
KAMA,35.2333,-101.7092,"Amarillo, TX",3587
PAHG,60.7258,-151.3514,"Anchorage, AK",242
PGUA,13.4525,-144.8114,"Anderson AFB, GU",264
KFFC,33.3636,-84.5658,"Atlanta, GA",858
KEWX,29.7039,-98.0283,"Austin/San Antonio, TX",633
KBBX,39.4961,-121.6317,"Beale AFB, CA",167
PABC,60.7919,-161.8764,"Bethel, AK",162
KBLX,45.8539,-108.6067,"Billings, MT",3598
KBGM,42.1997,-75.9847,"Binghamton, NY",1606
KBMX,33.1722,-86.7697,"Birmingham, AL",645
KBIS,46.7708,-100.7606,"Bismarck, ND",1658
KCBX,43.4906,-116.2356,"Boise, ID",3061
KBOX,41.9558,-71.1369,"Boston, MA",118
KBRO,25.9161,-97.4189,"Brownsville, TX",23
KBUF,42.9489,-78.7367,"Buffalo, NY",693
KCXX,44.5111,-73.1669,"Burlington, VT",317
RKSG,36.9558,-127.0211,"Camp Humphreys, Korea",52
KFDX,34.6353,-103.63,"Cannon AFB, NM",4650
KICX,37.5908,-112.8622,"Cedar City, UT",10600
KCLX,32.6556,-81.0422,"Charleston, SC",97
KRLX,38.3111,-81.7231,"Charleston, WV",1080
KCYS,41.1519,-104.8061,"Cheyenne, WY",6128
KLOT,41.6047,-88.0847,"Chicago, IL",663
KILN,39.4203,-83.8217,"Cincinnati, OH",1056
KCLE,41.4131,-81.8597,"Cleveland, OH",763
KCAE,33.9486,-81.1183,"Columbia, SC",231
KGWX,33.8967,-88.3289,"Columbus AFB, MS",476
KCRP,27.7842,-97.5111,"Corpus Christi, TX",45
KFWS,32.5731,-97.3031,"Dallas/Ft. Worth, TX",683
KDVN,41.6117,-90.5808,"Davenport, IA",754
