filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0221A_20170501_150634.txt,305759.0,21.2,21.7,33.5,33.3,988.8,988.8,1.4,1.4,1,0
0224A_20170501_150633.txt,101829.0,21.7,22.2,32.2,32.3,985.0,984.7,2.2,2.4,1,0
0224A_20170501_150633.txt,214523.0,22.6,23.1,27.6,27.6,984.7,984.5,9.9,9.9,1,0
0224A_20170501_150633.txt,232362.0,22.2,22.7,29.3,29.3,984.8,984.9,2.3,2.3,1,0
0224A_20170501_150633.txt,234273.0,22.3,22.8,28.2,28.4,984.5,984.8,5.1,5.3,1,0
0224A_20170501_150633.txt,250520.0,22.2,22.7,30.1,30.3,985.4,985.4,2.0,1.9,1,0
0224A_20170501_150633.txt,250935.0,22.2,22.8,29.2,29.2,984.9,985.3,1.8,1.8,1,0
0224A_20170501_150633.txt,251070.0,23.2,22.7,28.5,28.6,985.5,985.3,2.3,2.4,1,0
0224A_20170501_150633.txt,259775.0,23.1,22.6,30.7,30.7,985.7,985.5,5.8,5.8,1,0
0224A_20170501_150633.txt,263640.0,22.6,22.1,30.2,30.0,985.9,985.7,5.8,6.1,1,0
0224A_20170501_150633.txt,268646.0,22.1,22.3,30.0,30.2,986.0,987.2,3.8,3.7,1,0
0224A_20170501_150633.txt,268647.0,22.2,22.3,30.0,30.2,985.3,987.6,3.6,3.7,1,0
0224A_20170501_150633.txt,268648.0,22.3,22.3,30.2,30.2,986.0,987.8,3.7,3.7,1,0
0224A_20170501_150633.txt,268649.0,22.5,22.3,30.2,30.2,985.5,987.8,3.8,3.7,1,0
0224A_20170501_150633.txt,268650.0,22.3,22.3,30.5,30.3,1001.3,987.8,3.8,3.7,1,0
0224A_20170501_150633.txt,268651.0,22.4,22.2,30.3,30.3,990.3,987.9,3.6,3.7,1,0
0224A_20170501_150633.txt,268652.0,22.0,22.2,30.3,30.3,986.5,987.9,3.7,3.7,1,0
0224A_20170501_150633.txt,268653.0,22.3,22.2,30.4,30.4,986.4,987.9,3.7,3.8,1,0
0224A_20170501_150633.txt,268654.0,22.2,22.2,30.6,30.4,985.5,987.9,3.8,3.8,1,0
0224A_20170501_150633.txt,268655.0,22.1,22.2,30.5,30.4,985.9,987.8,3.8,3.8,1,0
0224A_20170501_150633.txt,269397.0,21.6,22.1,32.2,32.3,986.0,985.8,1.5,1.5,1,0
0224A_20170501_150633.txt,269583.0,22.6,22.1,30.9,30.9,985.4,985.8,1.9,1.9,1,0
0224A_20170501_150633.txt,272442.0,21.5,22.0,30.5,30.6,986.2,985.9,4.8,4.7,1,0
0224A_20170501_150633.txt,276994.0,21.4,22.0,31.8,31.9,985.5,985.9,2.7,2.9,1,0
0224A_20170501_150633.txt,279741.0,21.4,21.9,31.2,31.3,985.6,985.8,5.5,5.6,1,0
0224A_20170501_150633.txt,283181.0,21.4,22.0,31.6,31.6,985.7,986.0,5.1,5.0,1,0
0224A_20170501_150633.txt,284670.0,22.4,21.9,31.5,31.4,986.1,985.9,8.5,8.4,1,0
0224A_20170501_150633.txt,292433.0,20.7,21.3,32.1,32.2,986.5,986.2,5.4,5.4,1,0
0224A_20170501_150633.txt,295725.0,21.6,21.1,32.0,32.0,986.4,986.3,0.2,0.2,1,0
0224A_20170501_150633.txt,299506.0,21.5,21.0,32.9,32.9,986.0,986.4,0.2,0.2,1,0
0224A_20170501_150633.txt,301430.0,21.5,21.0,34.1,34.6,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301431.0,20.4,20.9,34.7,34.6,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301433.0,20.4,20.9,34.7,34.5,986.4,986.5,0.2,0.1,1,0
0224A_20170501_150633.txt,301450.0,21.9,20.7,34.5,34.3,986.4,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301451.0,19.7,20.7,34.4,34.3,986.9,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301458.0,21.5,20.9,34.6,34.5,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301465.0,20.4,21.0,35.2,34.9,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301497.0,21.5,21.0,34.6,34.7,986.4,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301535.0,20.4,21.0,33.9,34.2,986.5,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301536.0,21.6,21.0,34.5,34.2,986.6,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301540.0,20.4,20.9,34.5,34.4,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301545.0,21.5,20.9,34.7,34.4,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301547.0,20.3,21.0,34.1,34.3,986.4,986.5,0.1,0.1,1,0
