filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0219A_20181210_141253.txt,244.0,1.2,1.0,91.6,91.6,990.9,988.9,1.8,1.8,1,0
0219A_20181210_141253.txt,247.0,1.1,1.0,91.7,91.5,983.4,988.7,1.7,1.8,1,0
0219A_20181210_141253.txt,248.0,0.9,1.0,91.4,91.6,990.0,988.4,1.8,1.8,1,0
0219A_20181210_141253.txt,249.0,0.9,1.0,91.1,91.6,989.3,988.1,1.7,1.8,1,0
0219A_20181210_141253.txt,251.0,0.9,0.9,91.7,91.6,989.4,988.1,1.7,1.8,1,0
0219A_20181210_141253.txt,253.0,0.8,0.9,91.5,91.6,985.1,988.9,1.7,1.8,1,0
0219A_20181210_141253.txt,254.0,0.9,0.9,91.6,91.6,990.6,988.8,1.8,1.8,1,0
0219A_20181210_134741.txt,44.0,0.9,0.8,91.6,91.7,987.4,989.1,2.4,2.5,1,0
0219A_20181210_134741.txt,55.0,0.8,0.8,91.8,91.7,988.0,989.4,2.2,2.2,1,0
0219A_20181210_134741.txt,63.0,0.8,0.8,91.7,91.8,989.5,988.2,2.2,2.2,1,0
0219A_20181210_134741.txt,64.0,0.7,0.8,91.6,91.7,984.8,988.1,2.1,2.2,1,0
0219A_20181210_134741.txt,67.0,0.8,0.8,91.8,91.7,985.3,988.2,2.2,2.2,1,0
0219A_20181210_134741.txt,69.0,0.8,0.8,91.7,91.7,990.6,988.2,2.1,2.2,1,0
0219A_20181210_134741.txt,201.0,0.8,0.8,91.6,91.7,989.9,987.6,1.7,1.7,1,0
0219A_20181210_134741.txt,203.0,1.0,0.8,91.7,91.6,989.3,987.9,1.7,1.7,1,0
0219A_20181210_134741.txt,204.0,0.6,0.8,91.5,91.6,982.3,987.8,1.6,1.7,1,0
0219A_20181210_134741.txt,205.0,0.9,0.8,91.7,91.7,978.9,987.7,1.8,1.7,1,0
0219A_20181210_134741.txt,206.0,0.7,0.8,91.8,91.7,991.5,987.7,1.7,1.7,1,0
0219A_20181210_134741.txt,207.0,0.8,0.8,91.5,91.7,989.6,987.5,1.6,1.7,1,0
0219A_20181210_134741.txt,212.0,0.9,0.8,91.5,91.6,991.4,989.2,1.6,1.7,1,0
0219A_20181210_134741.txt,215.0,0.7,0.8,91.6,91.6,989.3,988.0,1.6,1.7,1,0
0219A_20181210_134741.txt,217.0,0.7,0.8,91.6,91.6,990.5,987.9,1.6,1.7,1,0
0219A_20181210_134741.txt,219.0,0.8,0.8,91.5,91.6,977.5,986.6,1.6,1.7,1,0
0219A_20181210_134741.txt,221.0,0.7,0.8,91.7,91.6,989.8,986.2,1.6,1.7,1,0
0219A_20181210_134741.txt,222.0,0.9,0.8,91.8,91.6,989.5,986.3,1.7,1.7,1,0
0219A_20181210_134741.txt,223.0,0.7,0.8,91.6,91.6,977.5,986.1,1.8,1.7,1,0
0219A_20181210_134741.txt,224.0,0.8,0.8,91.7,91.6,987.8,986.2,1.7,1.7,1,0
0219A_20181210_134741.txt,226.0,0.7,0.8,91.6,91.7,989.6,987.0,1.9,1.8,1,0
0219A_20181210_134741.txt,227.0,1.0,0.8,91.6,91.6,988.5,986.4,1.7,1.8,1,0
0219A_20181210_134741.txt,228.0,0.8,0.8,91.7,91.6,988.3,985.5,1.8,1.8,1,0
0219A_20181210_134741.txt,230.0,0.8,0.8,91.7,91.6,987.1,983.1,1.9,1.8,1,0
0219A_20181210_134741.txt,232.0,0.6,0.8,91.7,91.5,980.2,982.5,1.8,1.8,1,0
0219A_20181210_134741.txt,233.0,0.9,0.8,91.5,91.5,970.8,981.8,1.9,1.8,1,0
0219A_20181210_134741.txt,234.0,0.9,0.8,91.4,91.4,970.3,980.5,1.7,1.8,1,0
0219A_20181210_134741.txt,235.0,0.8,0.8,91.3,91.4,991.3,980.9,1.8,1.8,1,0
0219A_20181210_134741.txt,237.0,0.9,0.9,91.3,91.3,980.9,977.8,1.8,1.8,1,0
0219A_20181210_134741.txt,239.0,0.9,0.8,91.0,91.2,989.0,978.1,1.8,1.7,1,0
0219A_20181210_134741.txt,240.0,1.0,0.8,91.2,91.2,968.2,978.8,1.7,1.7,1,0
0219A_20181210_134741.txt,241.0,0.9,0.8,91.1,91.2,972.5,977.1,1.6,1.7,1,0
0219A_20181210_134741.txt,242.0,0.7,0.8,91.2,91.2,959.7,977.0,1.5,1.6,1,0
0219A_20181210_134741.txt,243.0,0.7,0.8,91.2,91.3,993.7,976.8,1.7,1.6,1,0
0219A_20181210_134741.txt,245.0,0.6,0.7,91.4,91.3,974.3,975.5,1.6,1.6,1,0
0219A_20181210_134741.txt,246.0,0.8,0.7,91.4,91.3,978.6,976.5,1.5,1.6,1,0
0219A_20181210_134741.txt,247.0,0.6,0.7,91.7,91.4,979.6,977.2,1.5,1.6,1,0
0219A_20181210_113114.txt,1083.0,0.6,0.6,90.5,90.5,986.3,987.8,1.4,1.4,1,0
0219A_20181210_113114.txt,1113.0,0.6,0.7,90.4,90.5,986.3,987.7,1.4,1.5,1,0
0219A_20181210_113114.txt,1136.0,0.7,0.7,90.5,90.5,981.8,987.3,1.6,1.5,1,0
0219A_20181210_113114.txt,1137.0,0.7,0.7,90.6,90.5,988.6,987.3,1.5,1.6,1,0
0219A_20181210_113114.txt,1139.0,0.9,0.7,90.6,90.6,988.4,987.2,1.5,1.6,1,0
0219A_20181210_113114.txt,1143.0,0.8,0.7,90.6,90.5,984.5,987.2,1.5,1.6,1,0
0219A_20181210_113114.txt,1147.0,0.6,0.7,90.6,90.5,982.7,987.0,1.6,1.6,1,0
0219A_20181210_113114.txt,1148.0,0.7,0.7,90.0,90.5,988.9,987.0,1.6,1.6,1,0
0219A_20181210_113114.txt,1153.0,0.7,0.7,90.6,90.5,983.7,987.5,1.5,1.5,1,0
0219A_20181210_113114.txt,1160.0,0.6,0.7,90.4,90.5,988.0,986.8,1.6,1.5,1,0
0219A_20181210_113114.txt,1161.0,0.6,0.7,90.5,90.5,988.2,986.8,1.6,1.5,1,0
